,GC3
YBL051C,0.346625767
YBL052C,0.301115242
YBL054W,0.39453125
YBL055C,0.395061728
YBL056W,0.303097345
YBL057C,0.336683417
YBL058W,0.375302663
YBL059W,0.373626374
YBL060W,0.375379939
YBL061C,0.302670623
YBL063W,0.355045872
YBL064C,0.431372549
YBL066C,0.350358423
YBL067C,0.315143247
YBL068W,0.300940439
YBL069W,0.411622276
YBL072C,0.37755102
YBL074C,0.388059701
YBL075C,0.325508607
YBL076C,0.35755814
YBL078C,0.394736842
YBL079W,0.341530055
YBL080C,0.439163498
YBL081W,0.553672316
YBL082C,0.58254717
YBL084C,0.352781547
YBL085W,0.339937435
YBL086C,0.407079646
YBL087C,0.410852713
YBL088C,0.32080387
YBL089W,0.35426009
YBL090W,0.410714286
YBL091C,0.41809291
YBL092W,0.519685039
YBL093C,0.419811321
YBL095W,0.434615385
YBL097W,0.351092896
YBL098W,0.335600907
YBL099W,0.346296296
YBL101C,0.364051095
YBL102W,0.421568627
YBL103C,0.337579618
YBL104C,0.322289157
YBL105C,0.308176101
YBL106C,0.318737271
YBL107C,0.340314136
YBR001C,0.308921438
YBR002C,0.418181818
YBR003W,0.319654428
YBR004C,0.322891566
YBR005W,0.399038462
YBR006W,0.324380165
YBR007C,0.308228731
YBR008C,0.349904398
YBR009C,0.362745098
YBR010W,0.407407407
YBR011C,0.449640288
YBR013C,0.26984127
YBR014C,0.336683417
YBR015C,0.45626072
YBR016W,0.528
YBR017C,0.375854214
YBR018C,0.300283286
YBR019C,0.355263158
YBR020W,0.357281553
YBR021W,0.340604027
YBR022W,0.348837209
YBR023C,0.321043165
YBR024W,0.356902357
YBR025C,0.34464752
YBR026C,0.342391304
YBR028C,0.3515625
YBR029C,0.411235955
YBR030W,0.376404494
YBR031W,0.458923513
YBR033W,0.34787472
YBR034C,0.443113772
YBR035C,0.390909091
YBR036C,0.475452196
YBR037C,0.46366782
YBR038W,0.352494577
YBR039W,0.363333333
YBR040W,0.335689046
YBR041W,0.320872274
YBR042C,0.338541667
YBR043C,0.341945289
YBR044C,0.39177102
YBR045C,0.292527822
YBR046C,0.336363636
YBR047W,0.348837209
YBR048W,0.490196078
YBR049C,0.324808184
YBR050C,0.393292683
YBR052C,0.410891089
YBR053C,0.337175793
YBR054W,0.387692308
YBR055C,0.30867052
YBR056W,0.293868922
YBR057C,0.373913043
YBR058C,0.328476821
YBR059C,0.341078067
YBR060C,0.373956594
YBR061C,0.324503311
YBR062C,0.284883721
YBR063C,0.314578005
YBR065C,0.353107345
YBR066C,0.359813084
YBR067C,0.357487923
YBR068C,0.357388316
YBR069C,0.380872483
YBR070C,0.381578947
YBR071W,0.495098039
YBR072W,0.450236967
YBR073W,0.339439655
YBR074W,0.338266385
YBR076W,0.379008746
YBR077C,0.461038961
YBR078W,0.41745283
YBR079C,0.341853035
YBR080C,0.316576087
YBR081C,0.324845679
YBR082C,0.370629371
YBR083W,0.39748954
YBR084W,0.343487395
YBR085W,0.33105802
YBR086C,0.347027027
YBR087W,0.32748538
YBR088C,0.369047619
YBR090C,0.405172414
YBR091C,0.424528302
YBR092C,0.448888889
YBR093C,0.452538631
YBR094W,0.341597796
YBR095C,0.345971564
YBR096W,0.436936937
YBR097W,0.319238901
YBR098W,0.294378698
YBR101C,0.367857143
YBR102C,0.364883402
YBR103W,0.337209302
YBR104W,0.358490566
YBR105C,0.420903955
YBR106W,0.485380117
YBR107C,0.452586207
YBR108W,0.364124597
YBR109C,0.316901408
YBR110W,0.326340326
YBR111C,0.3632287
YBR112C,0.287991498
YBR114W,0.402359109
YBR115C,0.329637842
YBR117C,0.404545455
YBR118W,0.432432432
YBR119W,0.348275862
YBR120C,0.305732484
YBR121C,0.319444444
YBR122C,0.369942197
YBR123C,0.343949045
YBR125C,0.380208333
YBR126C,0.540880503
YBR127C,0.400793651
YBR128C,0.404320988
YBR129C,0.33015873
YBR130C,0.359036145
YBR131W,0.382697947
YBR132C,0.37804878
YBR133C,0.40175219
YBR135W,0.493055556
YBR136W,0.341772152
YBR137W,0.367816092
YBR138C,0.337890625
YBR139W,0.351129363
YBR140C,0.336
YBR141C,0.43597561
YBR142W,0.338177015
YBR143C,0.305361305
YBR145W,0.316715543
YBR146W,0.325842697
YBR147W,0.360424028
YBR148W,0.376470588
YBR149W,0.402985075
YBR150C,0.31920904
YBR151W,0.327922078
YBR152W,0.374558304
YBR153W,0.320512821
YBR154C,0.308823529
YBR155W,0.35924933
YBR156C,0.295154185
YBR157C,0.345238095
YBR158W,0.308851224
YBR159W,0.323442136
YBR160W,0.359861592
YBR161W,0.403899721
YBR162C,0.346153846
YBR163W,0.348591549
YBR164C,0.293103448
YBR165W,0.377358491
YBR166C,0.300458716
YBR167C,0.284671533
YBR168W,0.31043257
YBR169C,0.357879234
YBR170C,0.330341113
YBR171W,0.35678392
YBR172C,0.327731092
YBR173C,0.407142857
YBR175W,0.388704319
YBR176W,0.349152542
YBR177C,0.335632184
YBR179C,0.325330132
YBR180W,0.287545788
YBR181C,0.435897436
YBR182C,0.341628959
YBR183W,0.390572391
YBR184W,0.280943026
YBR185C,0.338289963
YBR186W,0.353153153
YBR187W,0.360153257
YBR188C,0.376811594
YBR189W,0.404145078
YBR191W,0.378205128
YBR192W,0.283333333
YBR193C,0.356481481
YBR194W,0.297520661
YBR195C,0.386533666
YBR196C,0.46728972
YBR197C,0.461904762
YBR198C,0.351351351
YBR199W,0.355855856
YBR200W,0.335185185
YBR201W,0.390862944
YBR202W,0.373626374
YBR203W,0.355629877
YBR204C,0.351800554
YBR205W,0.440104167
YBR207W,0.38752784
YBR208C,0.312814773
YBR210W,0.395683453
YBR211C,0.342767296
YBR212W,0.385579937
YBR213W,0.556390977
YBR214W,0.432485323
YBR215W,0.293159609
YBR216C,0.338880484
YBR217W,0.296089385
YBR218C,0.360941587
YBR219C,0.483333333
YBR220C,0.478504673
YBR221C,0.350140056
YBR222C,0.481973435
YBR223C,0.429118774
YBR225W,0.337514253
YBR227C,0.30078125
YBR228W,0.334482759
YBR229C,0.373626374
YBR230C,0.496240602
YBR231C,0.498327759
YBR233W,0.388613861
YBR234C,0.371967655
YBR235W,0.336734694
YBR236C,0.312056738
YBR237W,0.328106152
YBR238C,0.346647646
YBR239C,0.447937132
YBR240C,0.512820513
YBR241C,0.576344086
YBR242W,0.406113537
YBR243C,0.390588235
YBR244W,0.402515723
YBR245C,0.344890511
YBR246W,0.330645161
YBR247C,0.332627119
YBR248C,0.356088561
YBR249C,0.380555556
YBR250W,0.32748538
YBR251W,0.34006734
YBR252W,0.388888889
YBR253W,0.495652174
YBR254C,0.360946746
YBR255W,0.32735426
YBR256C,0.370689655
YBR257W,0.356617647
YBR258C,0.335766423
YBR259W,0.334834835
YBR260C,0.387850467
YBR261C,0.493150685
YBR262C,0.489795918
YBR263W,0.422832981
YBR264C,0.432989691
YBR265W,0.477419355
YBR267W,0.498687664
YBR268W,0.544554455
YBR269C,0.455882353
YBR270C,0.411654135
YBR271W,0.366995074
YBR272C,0.356837607
YBR273C,0.374117647
YBR274W,0.328094303
YBR275C,0.319548872
YBR276C,0.33546735
YBR278W,0.366834171
YBR279W,0.365116279
YBR280C,0.350081037
YBR281C,0.320843091
YBR282W,0.361702128
YBR283C,0.341614907
YBR284W,0.375163399
YBR285W,0.432624113
YBR286W,0.457142857
YBR287W,0.382352941
YBR288C,0.305084746
YBR289W,0.338600451
YBR290W,0.291666667
YBR291C,0.329896907
YBR293W,0.310043668
YBR294W,0.324519231
YBR295W,0.337531486
YBR296C,0.325323475
YBR297W,0.324444444
YBR298C,0.318965517
YBR299W,0.370503597
YBR301W,0.49137931
YBR302C,0.363636364
YCL001W,0.33908046
YCL002C,0.322834646
YCL004W,0.351669941
YCL005W,0.426229508
YCL008C,0.51226158
YCL009C,0.558139535
YCL010C,0.458167331
YCL011C,0.329326923
YCL014W,0.34965902
YCL016C,0.457300275
YCL017C,0.355509356
YCL018W,0.379603399
YCL024W,0.380999021
YCL025C,0.394389439
YCL027W,0.386639676
YCL028W,0.391304348
YCL029C,0.435294118
YCL030C,0.369565217
YCL031C,0.361111111
YCL032W,0.46686747
YCL033C,0.559748428
YCL034W,0.57183908
YCL035C,0.472222222
YCL036W,0.527777778
YCL037C,0.427895981
YCL038C,0.352589641
YCL039W,0.503477051
YCL040W,0.580578512
YCL042W,0.482142857
YCL043C,0.555992141
YCL044C,0.467661692
YCL045C,0.382513661
YCL047C,0.394422311
YCL048W,0.396475771
YCL049C,0.416949153
YCL050C,0.381877023
YCL051W,0.350970018
YCL052C,0.330024814
YCL054W,0.342821782
YCL055W,0.354037267
YCL056C,0.333333333
YCL057W,0.429824561
YCL058C,0.5
YCL059C,0.364238411
YCL061C,0.327777778
YCL063W,0.347826087
YCL064C,0.327635328
YCL066W,0.345238095
YCL067C,0.328431373
YCL068C,0.445783133
YCL069W,0.334851936
YCL073C,0.353344768
YCL026C-A,0.372340426
YCR002C,0.294303797
YCR003W,0.299435028
YCR004C,0.358333333
YCR005C,0.286995516
YCR007C,0.333333333
YCR008W,0.29137931
YCR009C,0.329501916
YCR010C,0.347985348
YCR011C,0.341772152
YCR012W,0.497560976
YCR014C,0.326241135
YCR015C,0.325732899
YCR016W,0.346289753
YCR017C,0.325607064
YCR018C,0.291666667
YCR019W,0.384615385
YCR020C,0.357487923
YCR020C-A,0.320987654
YCR021C,0.376582278
YCR023C,0.289383562
YCR024C,0.308823529
YCR024C-A,0.263157895
YCR026C,0.367605634
YCR027C,0.330049261
YCR028C,0.340336134
YCR030C,0.358313817
YCR031C,0.313432836
YCR032W,0.338263359
YCR033W,0.305578684
YCR034W,0.349253731
YCR035C,0.317708333
YCR036W,0.335384615
YCR037C,0.341986456
YCR038C,0.400321543
YCR039C,0.328431373
YCR040W,0.345238095
YCR041W,0.317307692
YCR042C,0.331125828
YCR043C,0.341666667
YCR044C,0.455357143
YCR045C,0.559748428
YCR046C,0.695121951
YCR047C,0.671698113
YCR048W,0.698080279
YCR050C,0.554347826
YCR051W,0.643192488
YCR052W,0.506355932
YCR053W,0.401590457
YCR054C,0.355839416
YCR057C,0.390625
YCR059C,0.608163265
YCR060W,0.509259259
YCR061W,0.567114094
YCR063W,0.565789474
YCR065W,0.392727273
YCR066W,0.299785867
YCR067C,0.332378223
YCR068W,0.476767677
YCR069W,0.458064516
YCR071C,0.415492958
YCR072C,0.36400818
YCR073C,0.372921615
YCR075C,0.491596639
YCR076C,0.366666667
YCR077C,0.417209909
YCR081W,0.389941691
YCR082W,0.432
YCR083W,0.441666667
YCR084C,0.420600858
YCR086W,0.534759358
YCR088W,0.397236615
YCR089W,0.310366625
YCR090C,0.325714286
YCR091W,0.375178317
YCR092C,0.335692619
YCR093W,0.315892421
YCR094W,0.312169312
YCR095C,0.295774648
YCR096C,0.342105263
YCR097W,0.247933884
YCR098C,0.295315682
YCR099C,0.355704698
YCR100C,0.297734628
YCR101C,0.281609195
YCR102C,0.417582418
YCR104W,0.41322314
YCR105W,0.377521614
YCR106W,0.321204517
YCR107W,0.34870317
YCR073W-A,0.516339869
YEL001C,0.347031963
YEL002C,0.346062053
YEL003W,0.280373832
YEL004W,0.323353293
YEL005C,0.326164875
YEL006W,0.289230769
YEL007W,0.311827957
YEL009C,0.316363636
YEL011W,0.372956909
YEL012W,0.389423077
YEL013W,0.279929577
YEL015W,0.339552239
YEL016C,0.411637931
YEL017W,0.521341463
YEL018W,0.446096654
YEL019C,0.347490347
YEL020C,0.393382353
YEL021W,0.360465116
YEL022W,0.340097971
YEL023C,0.290964778
YEL024W,0.323529412
YEL025C,0.354561102
YEL026W,0.330645161
YEL027W,0.343949045
YEL029C,0.341137124
YEL030W,0.32385466
YEL031W,0.322525597
YEL032W,0.386554622
YEL033W,0.330882353
YEL034W,0.463087248
YEL035C,0.49382716
YEL036C,0.512658228
YEL037C,0.350515464
YEL038W,0.546666667
YEL039C,0.37962963
YEL040W,0.345898004
YEL041W,0.32776618
YEL042W,0.349802372
YEL043W,0.42088267
YEL044W,0.585365854
YEL046C,0.495956873
YEL047C,0.413943355
YEL048C,0.317567568
YEL049W,0.448275862
YEL050C,0.338582677
YEL051W,0.312
YEL052W,0.383838384
YEL053C,0.345454545
YEL054C,0.36809816
YEL055C,0.335699797
YEL056W,0.315926893
YEL057C,0.364035088
YEL058W,0.509191176
YEL060C,0.517628205
YEL061C,0.3436853
YEL062W,0.336666667
YEL063C,0.345811052
YEL064C,0.334792123
YEL065W,0.371237458
YEL066W,0.49704142
YEL067C,0.403141361
YEL068C,0.371428571
YEL069C,0.381308411
YEL070W,0.418067227
YEL071W,0.377593361
YEL072W,0.368888889
YEL073C,0.303030303
YEL075C,0.386554622
YEL076C,0.420289855
YER001W,0.326558266
YER002W,0.330357143
YER003C,0.376498801
YER004W,0.486725664
YER005W,0.379537954
YER006W,0.296442688
YER007W,0.351778656
YER008C,0.343629344
YER009W,0.409836066
YER010C,0.346320346
YER011W,0.329268293
YER012W,0.331606218
YER013W,0.325518485
YER014W,0.381957774
YER015W,0.328748281
YER016W,0.376119403
YER017C,0.389715832
YER018C,0.568075117
YER019W,0.57483731
YER020W,0.554022989
YER021W,0.414201183
YER022W,0.329359165
YER023W,0.391304348
YER024W,0.369179601
YER025W,0.308139535
YER026C,0.328301887
YER027C,0.361809045
YER028C,0.358247423
YER029C,0.424870466
YER030W,0.306666667
YER031C,0.408256881
YER032W,0.31712963
YER033C,0.32612782
YER034W,0.494505495
YER035W,0.492957746
YER036C,0.360876897
YER037W,0.408360129
YER038C,0.361842105
YER039C,0.508547009
YER040W,0.389280677
YER041W,0.325203252
YER042W,0.264044944
YER043C,0.413394919
YER044C,0.394160584
YER045C,0.369978858
YER046W,0.407407407
YER047C,0.334474886
YER048C,0.35828877
YER049W,0.365971108
YER050C,0.360902256
YER051W,0.341052632
YER052C,0.317829457
YER053C,0.333333333
YER054C,0.360747664
YER055C,0.320689655
YER056C,0.330677291
YER057C,0.416
YER058W,0.40776699
YER059W,0.346341463
YER060W,0.33
YER061C,0.356481481
YER062C,0.432098765
YER063W,0.350230415
YER064C,0.340725806
YER065C,0.378071834
YER066W,0.346368715
YER067W,0.360759494
YER068W,0.334488735
YER069W,0.329787234
YER070W,0.323149236
YER071C,0.327868852
YER072W,0.37398374
YER073W,0.361660079
YER074W,0.47761194
YER075C,0.376522702
YER076C,0.413194444
YER077C,0.384155456
YER078C,0.364185111
YER079W,0.426470588
YER080W,0.353135314
YER081W,0.328947368
YER082C,0.353817505
YER083C,0.472727273
YER084W,0.419354839
YER085C,0.426900585
YER086W,0.332743363
YER087W,0.336363636
YER088C,0.460587326
YER089C,0.498891353
YER090W,0.311740891
YER091C,0.403204272
YER092W,0.344262295
YER093C,0.36002886
YER094C,0.492462312
YER095W,0.392764858
YER096W,0.333333333
YER098W,0.324287653
YER099C,0.360128617
YER100W,0.345833333
YER101C,0.334939759
YER102W,0.352040816
YER103W,0.348580442
YER104W,0.316326531
YER105C,0.310672515
YER106W,0.314189189
YER107C,0.305475504
YER110C,0.347107438
YER111C,0.333019755
YER112W,0.412087912
YER113C,0.375558867
YER114C,0.355731225
YER115C,0.376344086
YER116C,0.358208955
YER117W,0.341085271
YER118C,0.322033898
YER119C,0.510440835
YER120W,0.45
YER121W,0.321100917
YER122C,0.349272349
YER123W,0.304518664
YER124C,0.300724638
YER125W,0.308673469
YER126C,0.346613546
YER127W,0.371757925
YER128W,0.346938776
YER129W,0.314566577
YER130C,0.389016018
YER131W,0.418803419
YER132C,0.320886814
YER133W,0.258278146
YER134C,0.377906977
YER136W,0.321917808
YER137C,0.366197183
YER139C,0.316742081
YER140W,0.361581921
YER141W,0.347252747
YER142C,0.310954064
YER143W,0.356626506
YER144C,0.366071429
YER145C,0.533854167
YER146W,0.595505618
YER147C,0.565656566
YER148W,0.316239316
YER149C,0.402439024
YER150W,0.354166667
YER151C,0.387824126
YER152C,0.604215457
YER153C,0.584033613
YER154W,0.503916449
YER155C,0.317165953
YER156C,0.49235474
YER157W,0.36835443
YER158C,0.401446655
YER159C,0.369565217
YER161C,0.354037267
YER162C,0.344827586
YER163C,0.405286344
YER164W,0.346045198
YER165W,0.3625
YER166W,0.323878628
YER167W,0.348668281
YER168C,0.351606805
YER169W,0.386511025
YER170W,0.352941176
YER171W,0.279411765
YER172C,0.309160305
YER173W,0.363207547
YER174C,0.31512605
YER175C,0.336842105
YER176W,0.393636364
YER177W,0.455598456
YER178W,0.405
YER179W,0.27607362
YER180C,0.359848485
YER182W,0.34893617
YER183C,0.297029703
YER184C,0.366972477
YER185W,0.323129252
YER186C,0.365187713
YER187W,0.382352941
YER189W,0.386554622
YER190W,0.463008631
YHL001W,0.340909091
YHL002W,0.308924485
YHL003C,0.330749354
YHL004W,0.434108527
YHL006C,0.534722222
YHL007C,0.373216246
YHL008C,0.326765189
YHL009C,0.323987539
YHL010C,0.352112676
YHL011C,0.282051282
YHL012W,0.271784232
YHL013C,0.332191781
YHL014C,0.350253807
YHL015W,0.466101695
YHL016C,0.317073171
YHL017W,0.40704501
YHL018W,0.513513514
YHL019C,0.472789116
YHL020C,0.584810127
YHL021C,0.413943355
YHL022C,0.393316195
YHL023C,0.337209302
YHL024W,0.352256186
YHL025W,0.53250774
YHL026C,0.478405316
YHL027W,0.408866995
YHL028W,0.412162162
YHL029C,0.439137134
YHL030W,0.347850055
YHL031C,0.582568807
YHL032C,0.477037037
YHL033C,0.494023904
YHL034C,0.371527778
YHL035C,0.305393112
YHL036W,0.378585086
YHL038C,0.41322314
YHL039W,0.35978836
YHL040C,0.365482234
YHL042W,0.352112676
YHL043W,0.352201258
YHL044W,0.352422907
YHL046C,0.513043478
YHL047C,0.335628227
YHL048W,0.394366197
YHL049C,0.448669202
YHL050C,0.494047619
YHR001W,0.345153664
YHR002W,0.257971014
YHR003C,0.336585366
YHR004C,0.349425287
YHR005C,0.359477124
YHR006W,0.369811321
YHR007C,0.374257426
YHR008C,0.555555556
YHR009C,0.387033399
YHR010W,0.447761194
YHR011W,0.361111111
YHR012W,0.336956522
YHR013C,0.427312775
YHR014W,0.291666667
YHR015W,0.27173913
YHR016C,0.308533917
YHR017W,0.362903226
YHR018C,0.341573034
YHR019C,0.445269017
YHR020W,0.410876133
YHR021C,0.345679012
YHR022C,0.333333333
YHR023W,0.341979884
YHR024C,0.382795699
YHR025W,0.474137931
YHR026W,0.411764706
YHR027C,0.297717842
YHR028C,0.325786164
YHR029C,0.327464789
YHR030C,0.347547974
YHR031C,0.371060172
YHR032W,0.488288288
YHR033W,0.600973236
YHR034C,0.52994012
YHR035W,0.339344262
YHR036W,0.361655773
YHR037W,0.348294434
YHR038W,0.315789474
YHR039C,0.317741935
YHR040W,0.566951567
YHR041C,0.676470588
YHR042W,0.521545319
YHR043C,0.344537815
YHR044C,0.360995851
YHR045W,0.322222222
YHR046C,0.319148936
YHR047C,0.350855746
YHR048W,0.425925926
YHR049W,0.423728814
YHR050W,0.394339623
YHR051W,0.353741497
YHR052W,0.349593496
YHR053C,0.483333333
YHR054C,0.310144928
YHR055C,0.483333333
YHR056C,0.364801865
YHR057C,0.517766497
YHR058C,0.420863309
YHR059W,0.396825397
YHR060W,0.4
YHR061C,0.405940594
YHR062C,0.479020979
YHR063C,0.326027397
YHR064C,0.368913858
YHR065C,0.32016632
YHR066W,0.307692308
YHR067W,0.388059701
YHR068W,0.332425068
YHR069C,0.354651163
YHR070W,0.559670782
YHR071W,0.402714932
YHR072W,0.364806867
YHR073W,0.344329897
YHR074W,0.32942899
YHR075C,0.318766067
YHR076W,0.378698225
YHR077C,0.333646617
YHR078W,0.394736842
YHR079C,0.305272895
YHR080C,0.344563553
YHR081W,0.38547486
YHR082C,0.317
YHR083W,0.485893417
YHR084W,0.307228916
YHR085W,0.341463415
YHR086W,0.351297405
YHR087W,0.463636364
YHR088W,0.389655172
YHR089C,0.272277228
YHR090C,0.31884058
YHR091C,0.369105691
YHR092C,0.303867403
YHR094C,0.342696629
YHR096C,0.370304114
YHR097C,0.406077348
YHR098C,0.35840708
YHR099W,0.334624965
YHR100C,0.407821229
YHR101C,0.384384384
YHR102W,0.360873694
YHR103W,0.361753959
YHR104W,0.389937107
YHR105W,0.451923077
YHR106W,0.366666667
YHR107C,0.364321608
YHR108W,0.384615385
YHR109W,0.335676626
YHR110W,0.389423077
YHR111W,0.368055556
YHR112C,0.409214092
YHR113W,0.4125
YHR114W,0.367479675
YHR115C,0.409876543
YHR116W,0.582191781
YHR117W,0.405405405
YHR118C,0.340527578
YHR119W,0.308851224
YHR120W,0.316916488
YHR121W,0.418478261
YHR122W,0.372807018
YHR123W,0.36827957
YHR124W,0.302931596
YHR126C,0.350649351
YHR127W,0.396624473
YHR128W,0.417061611
YHR129C,0.337912088
YHR131C,0.349700599
YHR132C,0.428223844
YHR133C,0.375886525
YHR134W,0.399224806
YHR135C,0.396551724
YHR136C,0.391608392
YHR137W,0.393442623
YHR138C,0.423423423
YHR139C,0.361370717
YHR140W,0.327510917
YHR141C,0.457142857
YHR142W,0.394039735
YHR143W-A,0.289855072
YHR143W,0.294117647
YHR144C,0.316831683
YHR146W,0.346405229
YHR147C,0.330143541
YHR148W,0.371428571
YHR149C,0.314325452
YHR150W,0.350626118
YHR151C,0.376494024
YHR152W,0.49112426
YHR153C,0.341968912
YHR154W,0.330134357
YHR155W,0.334456613
YHR156C,0.331306991
YHR157W,0.367231638
YHR158C,0.338908451
YHR159W,0.330612245
YHR160C,0.339350181
YHR161C,0.417335474
YHR162W,0.475409836
YHR163W,0.425619835
YHR164C,0.326612903
YHR165C,0.306857639
YHR166C,0.358931553
YHR167W,0.330677291
YHR168W,0.36
YHR169W,0.375
YHR170W,0.335329341
YHR171W,0.282430213
YHR172W,0.351453856
YHR173C,0.342857143
YHR174W,0.507109005
YHR175W,0.423529412
YHR176W,0.423809524
YHR177W,0.365909091
YHR178W,0.386235955
YHR179W,0.361757106
YHR181W,0.325892857
YHR182W,0.36505867
YHR183W,0.425531915
YHR184W,0.297297297
YHR185C,0.295154185
YHR186C,0.316421896
YHR187W,0.400662252
YHR188C,0.435897436
YHR189W,0.464480874
YHR190W,0.481395349
YHR191C,0.443548387
YHR192W,0.422222222
YHR193C,0.464705882
YHR194W,0.518783542
YHR195W,0.376582278
YHR196W,0.2875
YHR197W,0.328418231
YHR198C,0.347266881
YHR199C,0.495016611
YHR200W,0.482758621
YHR201C,0.404145078
YHR202W,0.369230769
YHR203C,0.463035019
YHR204W,0.381201044
YHR205W,0.374371859
YHR206W,0.386138614
YHR207C,0.322265625
YHR208W,0.349206349
YHR209W,0.286738351
YHR210C,0.401197605
YHR211W,0.34354067
YHR213W,0.338541667
YHR214W,0.435643564
YHR215W,0.451327434
YHR216W,0.378486056
YHR218W,0.47440273
YHR219W,0.490848586
YIL001W,0.319919517
YIL002C,0.315217391
YIL003W,0.34751773
YIL004C,0.290076336
YIL005W,0.385294118
YIL006W,0.457063712
YIL007C,0.398104265
YIL008W,0.368421053
YIL009W,0.357894737
YIL010W,0.342723005
YIL011W,0.32046332
YIL013C,0.364974246
YIL014W,0.323432343
YIL015W,0.326923077
YIL016W,0.506493506
YIL017C,0.377104377
YIL018W,0.386454183
YIL019W,0.351032448
YIL020C,0.30952381
YIL021W,0.324503311
YIL022W,0.50952381
YIL023C,0.488023952
YIL024C,0.525139665
YIL026C,0.358540925
YIL027C,0.350364964
YIL029C,0.340909091
YIL030C,0.346793349
YIL031W,0.297725025
YIL033C,0.50245098
YIL034C,0.408602151
YIL035C,0.33427762
YIL036W,0.366024518
YIL037C,0.33968254
YIL038C,0.314180929
YIL039W,0.361607143
YIL040W,0.450381679
YIL041W,0.523510972
YIL042C,0.597883598
YIL043C,0.511029412
YIL044C,0.364261168
YIL045W,0.342911877
YIL046W,0.553191489
YIL047C,0.49005848
YIL048W,0.284560144
YIL049W,0.359183673
YIL050W,0.371428571
YIL051C,0.418439716
YIL052C,0.408333333
YIL053W,0.456790123
YIL054W,0.415841584
YIL055C,0.358552632
YIL056W,0.409888357
YIL057C,0.5
YIL060W,0.316546763
YIL061C,0.429054054
YIL062C,0.355704698
YIL063C,0.364197531
YIL064W,0.416326531
YIL065C,0.546666667
YIL066C,0.342960289
YIL067C,0.340030912
YIL068C,0.321750322
YIL069C,0.432835821
YIL070C,0.343629344
YIL071C,0.308962264
YIL072W,0.350847458
YIL073C,0.339361702
YIL074C,0.304157549
YIL075C,0.325353645
YIL076W,0.410958904
YIL077C,0.382838284
YIL078W,0.3490701
YIL079C,0.376770538
YIL083C,0.357746479
YIL084C,0.347826087
YIL085C,0.382892057
YIL087C,0.397350993
YIL088C,0.343949045
YIL089W,0.37
YIL090W,0.371549894
YIL091C,0.370422535
YIL092W,0.342487884
